Fundos,Setor,Liquidez Diária (R$),P/VP,Dividend Yield,Variação Preço,Patrimônio Líquido,Num. Cotistas
HRDF11,Fundo de Desenvolvimento,34186,34.0,"0,00 %","0,00 %","13.390.591,83",1.032
HREC11,Papéis,"187.618,19",87.0,"1,00 %","-1,59 %","454.060.397,06",2.816
HRES11,Imóveis Residenciais,47760,120.0,"1,07 %","0,00 %","57.731.366,17",123
HSAF11,Papéis,"582.448,10",81.0,"1,06 %","-3,36 %","218.445.356,53",9.851
HSLG11,Imóveis Industriais e Logísticos,"592.710,24",72.0,"0,90 %","-0,12 %","1.317.068.433,18",40.218
HSML11,Shoppings,"5.021.023,57",67.0,"0,98 %","-4,36 %","2.265.944.267,66",195.323
HSRE11,Misto,"3.117.840,14",105.0,"1,23 %","1,01 %","815.276.781,05",320
HTMX11,Hotéis,"1.662.267,19",118.0,"2,25 %","-17,48 %","199.427.707,41",35.467
HUCG11,Hospitalar,"1.031,19",84.0,"0,20 %","8,00 %","116.235.972,27",245
HUSC11,Hospitalar,"7.081,48",65.0,"0,85 %","-1,95 %","129.170.752,92",757
HUSI11,Hospitalar,5810,102.0,"0,71 %","0,00 %","138.429.144,75",103
IAAG11,Indefinido,"207.914,67",73.0,"1,15 %","-5,64 %","100.989.892,33",13.263
IAGR11,Indefinido,"14.691,24",40.0,"0,21 %","-8,36 %","18.159.404,14",4.017
IBCR11,Papéis,"106.598,00",60.0,"1,38 %","3,66 %","91.259.177,91",3.863
IBFF11,Fundo de Fundos,"162.549,50",104.0,"0,00 %","0,00 %","118.155.565,38",8.102
ICNE11,Imóveis Residenciais,,81.0,"0,04 %","-2,14 %","96.679.893,15",5
ICRI11,Misto,"1.155.705,95",81.0,"1,53 %","-0,47 %","384.571.221,94",6.336
IDFI11,Indefinido,"2.592,80",125.0,"78,04 %","-54,34 %","3.283.391,87",617
IDGR11,Misto,"1.194,38",69.0,"23,79 %","-31,08 %","2.249.712,09",154
IDUA11,Imóveis Comerciais - Outros,,84.0,"1,36 %","-2,62 %","30.684.369,46",2
IFRA11,Indefinido,"2.914.894,29",,"1,05 %","-4,47 %",,0
IFRI11,Misto,"3.578.761,52",,"1,09 %","-5,20 %",,0
IMOV11,Indefinido,,,"0,00 %","0,00 %","480.204.850,95",13.027
INFA11,Outros,,,"0,80 %","0,00 %",,0
INFB11,Indefinido,"31.855,95",,"1,03 %","-4,89 %",,0
INLG11,Imóveis Industriais e Logísticos,"378.255,43",64.0,"1,09 %","-5,80 %","457.171.677,92",19.183
INRD11,Fundo de Desenvolvimento,"57.614,57",55.0,"0,87 %","-3,41 %","132.968.746,75",7.962
IRDM11,Papéis,"3.783.355,52",73.0,"1,22 %","-5,87 %","3.035.347.311,11",285.375
